#time  x  y  z  vx  vy  vz
10071.40 177.70 -10.17 145.80 -18.86 -77.77 -64.30
10142.90 174.82 -15.61 139.15 -32.23 -41.98 -75.79
10214.30 170.91 -17.68 131.17 -43.82 -3.34 -86.03
10285.70 165.89 -15.83 122.45 -49.81 37.58 -86.30
10357.10 160.11 -9.75 113.52 -61.00 89.68 -84.14
10428.60 154.07 1.48 105.24 -52.45 140.15 -71.07
10500.00 148.78 18.23 99.55 -37.57 200.74 -29.50
10571.40 146.40 39.96 99.14 1.91 223.22 41.42
10642.90 148.83 61.55 105.68 56.09 196.33 104.64
10714.30 155.40 78.25 117.26 88.31 133.42 138.69
10785.70 164.45 89.05 130.73 105.72 69.86 142.69
10857.10 174.39 94.23 144.30 111.09 17.77 138.27
10928.60 184.52 94.74 157.05 104.07 -26.29 123.85
11000.00 194.16 91.00 168.34 98.23 -64.89 105.22
11071.40 203.00 83.67 177.59 90.21 -95.33 80.18
11142.90 210.65 73.21 184.36 74.36 -123.56 55.61
11214.30 216.41 60.11 188.29 50.31 -141.51 28.65
11285.70 219.90 45.09 188.99 26.53 -158.31 -7.67
11357.10 220.67 28.68 185.63 5.08 -166.65 -43.12
11428.60 217.78 12.26 177.61 -40.74 -152.37 -93.75
