#time  x  y  z  vx  vy  vz
0.00 -476.22 491.44 -412.41 45.38 105.42 142.34
71.43 -472.95 498.95 -402.04 46.57 104.53 147.44
142.86 -469.31 506.76 -391.42 57.09 113.50 149.06
214.29 -465.05 515.03 -380.30 62.31 114.12 159.23
285.71 -460.20 523.51 -368.47 71.99 125.36 171.05
357.14 -454.66 532.67 -355.78 78.06 127.43 184.51
428.57 -448.10 541.96 -342.36 96.33 129.83 188.99
500.00 -440.90 551.43 -328.53 110.03 136.42 200.74
571.43 -432.47 561.12 -313.98 132.46 138.84 210.45
642.86 -422.37 570.87 -298.35 153.73 132.56 221.37
714.29 -410.45 580.34 -281.70 176.91 124.81 235.98
785.71 -396.70 588.86 -264.64 203.25 114.76 240.67
857.14 -380.91 596.26 -247.17 236.92 87.58 248.45
928.57 -362.70 601.80 -229.41 259.76 60.50 248.01
1000.00 -343.30 605.11 -212.11 274.06 35.32 235.56
1071.43 -323.07 606.34 -195.61 287.09 4.86 222.03
1142.86 -302.65 605.52 -180.45 289.82 -25.66 201.11
1214.29 -282.30 602.79 -166.47 282.00 -50.54 187.98
1285.71 -262.54 598.36 -153.56 274.65 -71.71 177.32
1357.14 -243.40 592.97 -141.35 262.69 -78.89 165.87
1428.57 -224.84 586.56 -130.16 256.36 -102.38 152.69
1500.00 -206.97 579.30 -119.82 241.93 -104.74 137.85
1571.43 -189.86 571.29 -110.35 241.56 -115.66 127.09
1642.86 -173.30 562.82 -101.42 229.62 -120.59 119.79
1714.29 -157.33 553.80 -93.08 221.81 -128.06 115.51
1785.71 -142.17 544.24 -85.40 207.22 -136.66 107.22
1857.14 -127.68 534.38 -78.19 198.04 -139.15 98.20
1928.57 -113.68 524.06 -71.44 189.36 -148.23 95.27
2000.00 -100.29 513.29 -65.17 180.10 -156.37 81.47
2071.43 -87.64 502.08 -59.30 171.19 -154.30 78.24
2142.86 -75.69 490.79 -53.86 168.91 -153.92 76.17
2214.29 -63.99 479.38 -48.94 157.72 -161.10 71.15
2285.71 -52.98 467.62 -44.13 150.60 -168.65 61.73
2357.14 -42.38 455.61 -39.88 144.52 -167.49 59.67
2428.57 -32.36 443.39 -35.73 135.66 -174.11 56.13
2500.00 -23.06 431.08 -31.83 121.48 -178.62 54.02
2571.43 -14.37 418.42 -28.18 113.94 -179.31 46.74
2642.86 -6.25 405.46 -24.91 111.63 -186.47 44.81
2714.29 1.36 392.09 -22.01 102.83 -185.13 42.30
2785.71 8.54 378.66 -19.49 96.19 -189.69 33.04
2857.14 15.21 364.89 -17.08 87.02 -195.07 31.78
2928.57 21.00 350.72 -15.07 75.59 -198.92 22.58
3000.00 26.23 336.34 -13.36 66.62 -203.91 21.90
3071.43 30.76 321.64 -11.78 57.39 -208.69 19.18
3142.86 34.52 306.55 -10.59 46.30 -214.28 14.81
3214.29 37.49 291.15 -9.83 37.77 -219.79 8.36
3285.71 39.50 275.33 -9.48 20.97 -223.93 4.03
3357.14 40.36 259.28 -9.35 5.37 -226.80 -5.34
3428.57 40.20 242.82 -9.53 -13.65 -232.66 -3.89
3500.00 38.43 226.07 -10.27 -33.45 -239.37 -16.53
3571.43 35.50 208.78 -11.49 -52.33 -243.77 -17.08
3642.86 30.87 191.18 -13.29 -79.68 -246.36 -31.86
3714.29 24.00 173.66 -16.03 -114.60 -245.13 -47.05
3785.71 14.48 156.60 -19.65 -154.11 -231.77 -55.57
3857.14 2.47 140.76 -24.24 -186.69 -209.47 -73.53
3928.57 -12.02 126.70 -29.65 -219.05 -182.41 -79.82
4000.00 -28.67 115.67 -35.70 -245.02 -128.51 -84.67
4071.43 -47.00 108.42 -41.57 -260.12 -71.33 -76.54
4142.86 -65.32 105.74 -46.97 -251.98 -0.69 -65.43
4214.29 -82.23 108.14 -51.00 -219.20 70.23 -47.17
4285.71 -96.03 115.23 -53.70 -165.64 121.75 -29.58
4357.14 -105.59 125.36 -55.00 -104.17 155.38 -9.44
4428.57 -111.04 137.01 -55.05 -46.20 168.34 5.27
4500.00 -112.60 149.11 -54.13 1.63 170.59 14.34
4571.43 -111.12 161.09 -52.68 39.29 166.39 27.66
4642.86 -107.06 172.67 -50.71 72.68 160.79 28.41
4714.29 -100.87 183.85 -48.23 99.36 152.81 39.53
4785.71 -92.71 194.45 -45.02 122.07 145.62 47.50
4857.14 -82.77 204.72 -41.13 149.83 138.55 59.24
4928.57 -71.60 214.31 -36.33 167.96 129.38 72.37
5000.00 -59.12 223.31 -30.80 184.09 123.89 84.74
5071.43 -45.36 232.10 -23.94 207.32 120.46 105.75
5142.86 -29.79 240.45 -15.10 229.38 111.75 143.25
5214.29 -12.43 247.78 -2.56 255.18 85.14 212.40
5285.71 5.48 250.93 15.44 231.73 -3.00 274.99
5357.14 20.12 247.49 34.80 177.62 -81.22 257.97
5428.57 31.45 240.38 52.01 142.94 -109.92 220.72
5500.00 40.72 231.68 66.45 117.29 -130.79 182.69
5571.43 48.17 221.84 78.35 95.88 -142.20 153.58
5642.86 54.26 211.40 88.31 76.12 -147.85 126.73
5714.29 59.28 200.35 96.69 64.00 -154.63 102.22
5785.71 63.29 188.91 103.44 50.67 -160.65 80.92
5857.14 66.43 177.14 108.44 36.33 -165.21 56.36
5928.57 68.70 165.20 111.96 21.26 -163.90 34.35
6000.00 69.91 153.20 113.75 9.42 -167.30 13.07
6071.43 69.68 141.26 113.50 -1.91 -164.31 -10.46
6142.86 68.90 129.60 111.83 -16.83 -160.10 -35.15
6214.29 67.14 118.32 108.21 -30.69 -154.23 -64.65
6285.71 64.38 107.73 102.34 -43.45 -140.77 -94.54
6357.14 60.37 98.09 94.11 -58.23 -126.03 -121.37
6428.57 55.29 89.92 83.65 -71.05 -103.84 -152.63
6500.00 49.38 83.65 70.88 -84.50 -73.44 -189.91
6571.43 42.40 80.13 55.73 -95.62 -26.44 -216.49
6642.86 34.93 80.31 38.35 -102.97 29.96 -243.87
6714.29 27.16 85.64 20.00 -96.28 109.59 -242.99
6785.71 20.80 96.53 2.82 -70.86 176.53 -210.22
6857.14 16.60 111.41 -10.35 -41.82 213.18 -147.09
6928.57 15.00 127.73 -19.15 -10.31 220.05 -87.47
7000.00 15.51 143.85 -23.44 17.68 203.24 -38.75
7071.43 17.58 158.50 -24.61 35.98 185.63 1.15
7142.86 21.04 171.63 -23.29 48.97 164.30 34.78
7214.29 25.36 182.92 -19.81 62.13 139.22 58.23
7285.71 30.44 192.39 -14.37 73.90 114.99 79.42
7357.14 36.31 199.92 -7.57 82.84 87.94 95.30
7428.57 42.79 205.43 0.44 88.67 59.25 112.25
7500.00 49.63 208.98 9.61 95.40 28.30 124.28
7571.43 56.84 210.23 19.54 96.40 1.13 134.40
7642.86 64.21 209.30 30.19 96.95 -30.77 138.74
7714.29 71.55 206.01 41.52 95.06 -60.28 144.96
7785.71 78.93 200.18 53.20 98.51 -92.19 144.71
7857.14 86.31 191.59 64.78 95.20 -126.74 146.58
7928.57 93.59 179.89 76.16 89.06 -165.92 137.66
8000.00 100.26 165.03 86.96 84.58 -207.99 128.57
8071.43 106.06 146.55 96.33 72.13 -252.87 106.00
8142.86 110.33 124.71 103.05 43.73 -294.60 66.31
8214.29 112.36 100.32 105.40 14.37 -311.70 0.15
8285.71 111.46 75.55 101.97 -26.44 -291.83 -71.18
8357.14 107.52 54.27 93.22 -57.19 -232.71 -123.97
8428.57 101.79 38.17 81.37 -67.45 -168.15 -150.46
8500.00 95.66 27.48 68.35 -72.31 -103.81 -152.31
8571.43 89.53 21.59 55.62 -61.07 -49.38 -143.62
8642.86 84.12 19.66 43.93 -57.85 -7.56 -128.47
8714.29 79.27 20.87 33.94 -43.79 28.60 -103.58
8785.71 75.72 24.80 26.08 -30.79 55.86 -77.35
8857.14 73.56 30.74 20.20 -14.71 78.25 -50.10
8928.57 72.75 38.32 16.80 5.90 95.95 -15.26
9000.00 73.18 47.17 15.73 21.68 107.83 10.49
9071.43 75.13 56.93 17.27 39.94 109.54 45.43
9142.86 78.63 67.18 21.68 55.97 112.68 74.10
9214.29 83.79 77.37 29.29 75.04 108.52 111.18
9285.71 91.02 87.01 40.11 101.57 94.63 150.71
9357.14 100.63 95.16 54.61 127.22 71.66 195.16
9428.57 112.55 100.22 72.82 152.89 20.79 235.85
9500.00 126.63 99.85 94.14 173.49 -54.24 259.68
9571.43 141.77 91.62 115.84 173.36 -149.16 240.15
9642.86 155.28 76.14 133.66 139.33 -207.39 171.41
9714.29 165.49 57.86 145.49 99.82 -214.66 101.91
9785.71 172.30 39.87 151.95 64.97 -199.66 48.53
9857.14 176.62 23.67 154.51 39.61 -172.72 12.73
9928.57 178.62 9.74 153.94 15.27 -148.47 -19.22
10000.00 178.95 -1.63 150.94 -0.97 -113.66 -43.59
