Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
900.00 71280930.18 8167606.58 3360539.72 1792464.80 1055436.51 693504.73 482129.08
914.29 106921395.27 8250107.66 3534591.58 1803341.40 1074678.75 721893.81 499177.07
928.57 106921395.27 8332608.74 3253430.89 1709802.59 1040042.73 699081.15 482428.17
942.86 62370813.91 8208857.12 3266819.49 1705451.94 1029459.50 684886.61 477343.68
957.14 98011278.99 8621362.50 3327068.21 1788114.15 1065057.63 714796.54 492896.23
971.43 71280930.18 8373859.27 3353845.42 1788114.15 1086224.09 733553.61 506953.34
985.71 89101162.72 6847589.36 3119544.84 1740257.08 1054474.40 691983.88 485718.13
1000.00 80191046.45 8580111.97 3581451.69 1825094.62 1079489.31 711247.90 497083.46
1014.29 89101162.72 8208857.12 3353845.42 1781588.19 1088148.31 712768.75 494989.84
1028.57 115831511.54 8910116.27 3614923.21 1803341.40 1100655.76 718852.12 502167.94
1042.86 80191046.45 8085105.51 3467648.56 1796815.44 1094883.09 732032.77 506953.34
1057.14 98011278.99 8538861.43 3394011.23 1772886.90 1065057.63 712768.75 495588.02
1071.43 71280930.18 7095092.59 3186487.86 1683698.73 1007330.93 679310.18 473754.63
1085.71 80191046.45 8208857.12 3360539.72 1716328.55 1033307.94 696546.41 487512.66
1100.00 26730348.82 7053842.05 3146322.05 1681523.41 1011179.38 678803.24 467772.88
1114.29 80191046.45 7466347.43 3139627.75 1735906.44 1042929.06 701615.89 486316.31
1128.57 115831511.54 8373859.27 3373928.33 1751133.69 1079489.31 727977.18 501270.68
1142.86 89101162.72 8250107.66 3394011.23 1783763.51 1059284.96 704150.63 490503.53
1157.14 89101162.72 8662613.04 3206570.77 1725029.83 1017914.16 677282.39 473754.63
1171.43 44550581.36 8415109.81 3327068.21 1683698.73 1024648.94 673733.76 469268.32
1185.71 26730348.82 6765088.28 2952187.28 1622789.73 985202.36 653962.79 454912.12
1200.00 53460697.63 7672600.12 3112850.54 1642367.62 973657.02 660046.16 460594.78
1214.29 62370813.91 8085105.51 3052601.82 1624965.05 977505.47 644837.73 443845.88
1228.57 106921395.27 8868865.73 3333762.51 1635841.66 975581.24 638754.35 444144.97
1242.86 44550581.36 8745114.12 3333762.51 1698925.98 1030421.61 672212.91 457902.99
1257.14 62370813.91 7425096.89 3019130.31 1531426.23 933248.33 618983.38 436368.69
1271.43 80191046.45 7961353.89 3032518.91 1653244.23 976543.36 654469.74 445939.49
1285.71 89101162.72 7342595.82 2978964.49 1605387.16 968846.46 637740.46 441453.18
1300.00 89101162.72 7218844.20 3032518.91 1585809.27 929399.88 614420.85 426498.80
1314.29 89101162.72 8745114.12 3240042.28 1627140.37 981353.91 643316.88 443845.88
1328.57 80191046.45 6971340.97 2945492.98 1598861.20 961149.57 633684.87 432779.64
1342.86 71280930.18 7218844.20 3099461.93 1638016.98 946717.89 624559.81 431284.20
1357.14 71280930.18 7383846.36 3032518.91 1607562.48 971732.80 624052.86 433975.99
1371.43 62370813.91 7177593.66 3005741.70 1557530.09 936134.67 614420.85 425302.45
1385.71 71280930.18 7383846.36 3019130.31 1509673.02 875521.63 575892.81 405263.59
1400.00 71280930.18 6270081.82 2657637.99 1431361.45 880332.19 584003.98 399880.01
1414.29 89101162.72 7012591.51 2851772.75 1529250.91 896688.09 592622.09 407656.29
1428.57 89101162.72 6723837.74 2804912.64 1455289.99 903422.87 607830.53 413338.95
1442.86 80191046.45 7755101.20 2999047.40 1500971.74 891877.53 580455.34 396590.05
1457.14 89101162.72 7837602.28 2932104.38 1472692.56 890915.42 581469.24 399281.84
1471.43 44550581.36 7177593.66 2952187.28 1474867.88 867824.74 557135.74 378644.80
1485.71 80191046.45 7631349.59 2764746.82 1429186.13 852430.95 552573.21 382832.02
1500.00 35640465.09 7507597.97 2845078.45 1503147.06 869748.96 559163.53 390608.30
1514.29 115831511.54 8167606.58 3072684.72 1524900.27 890915.42 576906.71 393599.17
1528.57 98011278.99 7425096.89 2851772.75 1487919.81 864938.40 563726.06 394496.44
1542.86 44550581.36 7177593.66 2818301.24 1392205.67 834150.83 540406.46 374756.66
1557.14 115831511.54 7177593.66 2818301.24 1381329.06 828378.16 542941.20 380439.32
1571.43 62370813.91 7548848.51 2992353.10 1524900.27 893801.75 556121.85 384028.37
1585.71 62370813.91 7218844.20 2617472.17 1281264.28 791817.91 517593.80 361596.81
1600.00 106921395.27 8580111.97 2972270.19 1457465.31 867824.74 555107.95 383430.20
1614.29 71280930.18 7260094.74 2925410.08 1450939.34 855317.28 555614.90 378345.71
1628.57 53460697.63 8208857.12 2831689.84 1418309.52 803363.25 519114.65 360101.37
1642.86 89101162.72 7672600.12 2918715.77 1411783.56 825491.82 530267.50 360699.55
1657.14 35640465.09 8291358.20 3112850.54 1524900.27 881294.30 557135.74 385224.72
1671.43 80191046.45 6888839.90 2724581.01 1442238.06 829340.27 530267.50 363989.51
1685.71 89101162.72 6600086.13 2811606.94 1494445.77 845696.17 532802.24 364587.69
1700.00 80191046.45 7507597.97 2731275.31 1416134.20 823567.60 521142.44 353521.45
1714.29 80191046.45 8167606.58 2925410.08 1429186.13 824529.71 531788.35 354717.80
1728.57 106921395.27 7136343.13 2684415.20 1390030.35 807211.70 508975.69 343950.65
1742.86 89101162.72 6228831.28 2617472.17 1381329.06 809135.92 522663.28 359503.20
1757.14 53460697.63 7301345.28 2691109.50 1400906.95 830302.38 533816.14 353820.53
1771.43 44550581.36 7383846.36 2938798.68 1468341.91 837999.27 526211.92 360998.64
1785.71 44550581.36 7260094.74 2778135.43 1403082.27 816832.82 523170.23 360101.37
1800.00 80191046.45 7672600.12 2858467.05 1368277.13 780272.57 493260.31 332585.32
1814.29 124741627.81 7507597.97 2965575.89 1437887.42 796628.47 513031.27 343651.56
1828.57 62370813.91 7837602.28 2932104.38 1440062.74 832226.60 528746.66 355914.15
1842.86 124741627.81 7053842.05 2918715.77 1424835.49 810098.03 510496.53 334678.93
1857.14 98011278.99 8043854.97 2751358.22 1411783.56 786045.24 500864.52 340660.68
1871.43 80191046.45 7631349.59 2851772.75 1457465.31 828378.16 517086.86 351427.83
1885.71 62370813.91 7713850.66 2851772.75 1420484.85 790855.80 497315.89 340660.68
1900.00 71280930.18 7590099.05 2938798.68 1459640.63 820681.26 529760.55 351128.75
1914.29 62370813.91 7301345.28 2898632.87 1468341.91 841847.72 540913.41 357110.50
1928.57 53460697.63 7672600.12 2731275.31 1381329.06 787969.47 498836.73 336473.46
1942.86 71280930.18 7136343.13 2717886.71 1353049.88 792780.02 503399.26 336473.46
1957.14 62370813.91 7466347.43 2557223.45 1344348.60 806249.59 499343.68 335875.28
1971.43 89101162.72 7961353.89 2744663.92 1372627.78 786045.24 493767.25 329893.53
1985.71 80191046.45 7342595.82 2590694.96 1316069.42 746598.66 470954.60 323612.70
2000.00 80191046.45 7755101.20 2771441.12 1398731.63 824529.71 518607.70 341258.86
2014.29 89101162.72 8497610.89 2818301.24 1403082.27 808173.81 506947.90 334678.93
2028.57 80191046.45 6682587.20 2517057.64 1326946.03 773537.79 493260.31 330192.62
2042.86 71280930.18 7631349.59 2985658.80 1448764.02 846658.28 525198.02 352923.27
2057.14 106921395.27 7466347.43 2932104.38 1398731.63 819719.15 514552.12 342754.30
2071.43 80191046.45 7507597.97 3005741.70 1411783.56 821643.38 517593.80 337370.72
2085.71 71280930.18 6971340.97 2697803.80 1361751.17 787969.47 494781.15 327201.75
2100.00 53460697.63 6930090.43 2724581.01 1394380.99 825491.82 517086.86 346343.35
2114.29 80191046.45 7177593.66 2758052.52 1355225.20 795666.36 494781.15 337669.81
2128.57 98011278.99 7672600.12 2885244.26 1483569.16 831264.49 521649.39 349932.40
2142.86 98011278.99 7672600.12 2697803.80 1411783.56 804325.36 486669.98 327500.83
2157.14 26730348.82 6888839.90 2771441.12 1368277.13 770651.46 488190.83 323014.52
2171.43 89101162.72 6847589.36 3025824.61 1503147.06 861089.95 525198.02 352026.01
2185.71 98011278.99 6476334.51 2563917.76 1337822.63 764878.79 476531.03 321818.17
2200.00 44550581.36 7342595.82 2784829.73 1357400.53 779310.46 483121.35 320023.65
2214.29 89101162.72 7837602.28 2764746.82 1359575.85 795666.36 494781.15 329893.53
2228.57 106921395.27 7713850.66 2858467.05 1461815.95 825491.82 508468.74 345147.00
2242.86 106921395.27 6600086.13 2758052.52 1379153.74 798552.69 485149.14 324809.05
2257.14 80191046.45 6723837.74 2644249.38 1392205.67 811060.15 499343.68 334379.85
2271.43 35640465.09 6105079.67 2818301.24 1407432.92 799514.81 492753.36 330491.71
2285.71 98011278.99 6888839.90 2557223.45 1359575.85 794704.25 502892.32 335277.11
2300.00 89101162.72 7755101.20 2891938.56 1442238.06 819719.15 506947.90 332585.32
2314.29 98011278.99 7631349.59 2925410.08 1368277.13 774499.90 480079.66 321220.00
2328.57 62370813.91 6105079.67 2664332.29 1348699.24 774499.90 483628.30 322715.43
2342.86 53460697.63 7095092.59 2831689.84 1383504.38 790855.80 484642.19 329295.36
2357.14 80191046.45 7466347.43 2999047.40 1477043.20 851468.84 520635.49 349932.40
2371.43 80191046.45 7053842.05 2624166.48 1333471.99 772575.68 478558.82 328099.01
2385.71 80191046.45 6971340.97 2517057.64 1287790.24 763916.67 488190.83 324509.96
2400.00 89101162.72 7425096.89 2885244.26 1422660.17 827416.05 505427.06 337968.90
2414.29 71280930.18 7507597.97 2704498.10 1350874.56 780272.57 481600.50 323911.78
2428.57 62370813.91 7590099.05 2691109.50 1326946.03 761030.34 475517.13 317930.03
2442.86 89101162.72 7301345.28 2771441.12 1370452.45 765840.90 485656.09 326304.48
2457.14 89101162.72 8002604.43 2597389.27 1281264.28 737939.66 464871.22 315537.33
2471.43 44550581.36 6971340.97 2617472.17 1381329.06 767765.12 480079.66 323014.52
2485.71 89101162.72 7631349.59 2871855.66 1446588.70 810098.03 502385.37 330491.71
2500.00 71280930.18 6146330.21 2496974.73 1339997.96 772575.68 494274.20 327799.92
2514.29 62370813.91 6558835.59 2664332.29 1374803.10 794704.25 501371.47 330192.62
2528.57 44550581.36 5981328.05 2423337.41 1311718.78 758144.00 477037.97 317032.77
2542.86 80191046.45 6641336.67 2671026.59 1383504.38 787969.47 502385.37 329295.36
2557.14 89101162.72 7631349.59 2938798.68 1440062.74 830302.38 520128.54 343352.47
2571.43 106921395.27 7301345.28 2764746.82 1359575.85 784121.02 488697.77 326005.40
2585.71 62370813.91 7095092.59 2684415.20 1379153.74 781234.68 498329.78 330491.71
2600.00 80191046.45 6971340.97 2570612.06 1255160.42 729280.65 463350.38 312845.54
2614.29 106921395.27 7548848.51 2898632.87 1398731.63 812022.26 501878.42 332884.41
2628.57 80191046.45 7260094.74 2737969.61 1387855.02 776424.13 488190.83 322416.35
2642.86 71280930.18 6517585.05 2664332.29 1289965.56 779310.46 488697.77 325706.31
2657.14 124741627.81 8167606.58 2778135.43 1403082.27 804325.36 499850.63 336174.37
2671.43 89101162.72 7878852.81 2778135.43 1363926.49 795666.36 495288.10 334080.76
2685.71 62370813.91 6806338.82 2691109.50 1420484.85 812022.26 512524.33 340959.77
2700.00 17820232.54 7095092.59 2671026.59 1396556.31 791817.91 490218.62 327500.83
2714.29 89101162.72 7260094.74 2838384.15 1385679.70 793742.14 493260.31 325407.22
2728.57 53460697.63 6971340.97 2637555.08 1370452.45 787007.35 499343.68 330491.71
2742.86 44550581.36 6847589.36 2878549.96 1357400.53 779310.46 501371.47 332585.32
2757.14 115831511.54 8002604.43 2978964.49 1463991.27 838961.39 527732.76 351128.75
2771.43 71280930.18 6971340.97 2751358.22 1376978.42 787007.35 484135.24 324809.05
2785.71 62370813.91 6888839.90 2570612.06 1337822.63 757181.89 472982.39 314939.16
2800.00 106921395.27 7053842.05 2744663.92 1348699.24 807211.70 501371.47 330192.62
2814.29 142561860.36 6393833.44 2697803.80 1361751.17 787007.35 487176.93 326902.66
2828.57 115831511.54 8002604.43 3005741.70 1520549.63 847620.39 525198.02 349035.13
2842.86 80191046.45 6765088.28 2604083.57 1344348.60 774499.90 497315.89 326902.66
2857.14 53460697.63 6806338.82 2724581.01 1398731.63 790855.80 496301.99 333183.50
2871.43 53460697.63 7260094.74 2764746.82 1370452.45 786045.24 495288.10 327799.92
2885.71 53460697.63 6600086.13 2496974.73 1272562.99 737939.66 478051.87 322416.35
2900.00 53460697.63 7053842.05 2798218.33 1383504.38 776424.13 481600.50 325706.31
2914.29 62370813.91 7095092.59 2811606.94 1424835.49 833188.72 515059.07 336473.46
2928.57 53460697.63 6105079.67 2577306.36 1276913.64 748522.89 469433.75 314340.98
2942.86 89101162.72 6600086.13 2671026.59 1313894.10 776424.13 478051.87 316733.68
2957.14 62370813.91 7878852.81 2965575.89 1459640.63 841847.72 525198.02 343352.47
2971.43 62370813.91 6723837.74 2617472.17 1329121.35 757181.89 475517.13 314939.16
2985.71 115831511.54 7012591.51 2737969.61 1300842.17 735053.32 464871.22 311649.19
3000.00 80191046.45 8126356.04 2932104.38 1461815.95 855317.28 522663.28 343651.56
3014.29 98011278.99 7755101.20 2858467.05 1394380.99 791817.91 491232.51 325706.31
3028.57 62370813.91 8250107.66 2972270.19 1479218.52 827416.05 513031.27 343352.47
3042.86 106921395.27 7301345.28 2898632.87 1394380.99 824529.71 513031.27 340959.77
